iter	Logloss
0	0.5352262174
1	0.4562957164
2	0.4111908296
3	0.3821269792
4	0.3610668136
5	0.3471371512
6	0.3368696358
7	0.3280393615
8	0.3223274006
9	0.3176242538
10	0.3139442238
11	0.3092318354
12	0.3064550311
13	0.3044157333
14	0.3023546158
15	0.300851611
16	0.298804487
17	0.2974790109
18	0.2967871448
19	0.2956014254
20	0.2950160802
21	0.2940776038
22	0.2933757885
23	0.292750703
24	0.2914582892
25	0.2905072111
26	0.2891379082
27	0.2886687426
28	0.2881129356
29	0.2864990141
30	0.28591298
31	0.2851960887
32	0.2843828459
33	0.282823183
34	0.2821895028
35	0.2816197819
36	0.2810308377
37	0.2806477699
38	0.2802006161
39	0.2800158517
40	0.2797410529
41	0.2792770048
42	0.2791384104
43	0.2788140955
44	0.2780013401
45	0.2778669587
46	0.2768934798
47	0.276115469
48	0.2757012229
49	0.2752834198
50	0.2747418265
51	0.2742899255
52	0.2742220342
53	0.2737903126
54	0.2737264516
55	0.2733361668
56	0.272792788
57	0.2724451585
58	0.2723915231
59	0.2719145407
60	0.2714788545
61	0.2712746182
62	0.2711731116
63	0.2709843169
64	0.2707195282
65	0.270289311
66	0.2699262961
67	0.2697677097
68	0.2692980848
69	0.2691417057
70	0.268728828
71	0.2684997727
72	0.2680424449
73	0.2678373651
74	0.2676172092
75	0.2673541873
76	0.2668430272
77	0.2667059465
78	0.2663265763
79	0.2661554585
80	0.2656487739
81	0.2654903468
82	0.2652252019
83	0.2650809136
84	0.2648437931
85	0.2647935178
86	0.2645930682
87	0.2642634811
88	0.2636847437
89	0.2634074143
90	0.2631324562
91	0.262825523
92	0.2624688066
93	0.2619095364
94	0.2616342174
95	0.2615606978
96	0.2611960381
97	0.2609026485
98	0.260667993
99	0.2606273342
