iter	Passed	Remaining
0	185	18348
1	195	9559
2	203	6595
3	207	4984
4	211	4015
5	214	3367
6	219	2918
7	223	2568
8	226	2294
9	230	2076
10	235	1904
11	239	1754
12	243	1626
13	246	1514
14	251	1424
15	255	1339
16	258	1262
17	262	1195
18	266	1137
19	270	1082
20	274	1031
21	277	984
22	282	945
23	286	905
24	289	869
25	293	835
26	298	806
27	302	776
28	305	748
29	309	722
30	314	699
31	317	675
32	321	651
33	324	630
34	329	611
35	333	592
36	336	573
37	340	555
38	344	539
39	348	522
40	351	506
41	355	491
42	359	476
43	363	462
44	366	448
45	370	434
46	373	421
47	378	410
48	382	397
49	387	387
50	393	377
51	398	368
52	403	357
53	409	349
54	414	339
55	419	329
56	427	322
57	435	315
58	444	308
59	450	300
60	455	290
61	462	283
62	467	274
63	471	265
64	478	257
65	485	249
66	492	242
67	499	235
68	507	228
69	514	220
70	520	212
71	527	205
72	534	197
73	543	190
74	547	182
75	551	174
76	558	166
77	562	158
78	566	150
79	570	142
80	575	134
81	578	127
82	582	119
83	587	111
84	591	104
85	595	96
86	598	89
87	605	82
88	610	75
89	615	68
90	625	61
91	629	54
92	632	47
93	639	40
94	645	33
95	650	27
96	660	20
97	665	13
98	677	6
99	693	0
